,gssId,constituency_shortName,newPartyCode,partyCodeLast,turnout_percentage,majorityNow,resultBanner,fullName,party_shortName,votesNow,candidate_party_code
0,UC0001,Nicarshire,MRP,MAC,87.1,6309,MRP GAIN FROM MAC,Habiba Khan,Moderate Party,21098,MRP
1,UC0001,Nicarshire,MRP,MAC,87.1,6309,MRP GAIN FROM MAC,Justin Henderson,Social Advancement,14789,SA
2,UC0001,Nicarshire,MRP,MAC,87.1,6309,MRP GAIN FROM MAC,Lauren Davies,Modern Alliance Coalition,2466,MAC
3,UC0001,Nicarshire,MRP,MAC,87.1,6309,MRP GAIN FROM MAC,Jean Cleveland,Environmental Climate Alliance,1017,ECA
4,UC0001,Nicarshire,MRP,MAC,87.1,6309,MRP GAIN FROM MAC,Elise Taylor,Traditional Preservation Movement,543,TPM
5,UC0001,Nicarshire,MRP,MAC,87.1,6309,MRP GAIN FROM MAC,Crazy Chuck McGraw III,Nutty Noodle Alliance Party,211,NNAP
6,UC0001,Nicarshire,MRP,MAC,87.1,6309,MRP GAIN FROM MAC,Janae Sheridan,Independent,72,IND
7,UC0001,Nicarshire,MRP,MAC,87.1,6309,MRP GAIN FROM MAC,Hector Whelan,Independent,33,IND
8,UC0001,Nicarshire,MRP,MAC,87.1,6309,MRP GAIN FROM MAC,Mylo Mcgee,Independent,31,IND
9,UC0001,Nicarshire,MRP,MAC,87.1,6309,MRP GAIN FROM MAC,Adrienne Curtis,Independent,19,IND
10,UC0001,Nicarshire,MRP,MAC,87.1,6309,MRP GAIN FROM MAC,Jan Stuart,Independent,7,IND
11,UC0001,Nicarshire,MRP,MAC,87.1,6309,MRP GAIN FROM MAC,Wiktoria Rivas,Independent,5,IND
